event_id,event_time,transaction_id,payment_id,merchant_id,fraud_risk_score,fraud_decision,payment_incident_detected,payment_incident_type,payment_incident_severity,amount,payment_method,scenario_type,expected_spike,synthetic_monitoring_note
mon_evt_0000061,2026-08-27T10:11:15,10000061,pay_mon_0000061,merchant_041,0.120698,ALLOW,False,NORMAL_PAYMENT,NONE,66.38,wallet,NORMAL,False,Synthetic monitoring time; not live merchant or payment-provider traffic.
mon_evt_0000062,2026-08-27T10:11:26,10000062,pay_mon_0000062,merchant_035,0.218772,ALLOW,False,NORMAL_PAYMENT,NONE,102.58,netbanking,NORMAL,False,Synthetic monitoring time; not live merchant or payment-provider traffic.
mon_evt_0000063,2026-08-27T10:11:37,10000063,pay_mon_0000063,merchant_010,0.143901,ALLOW,False,NORMAL_PAYMENT,NONE,52.62,netbanking,NORMAL,False,Synthetic monitoring time; not live merchant or payment-provider traffic.
mon_evt_0000064,2026-08-27T10:11:48,10000064,pay_mon_0000064,merchant_096,0.015507,ALLOW,False,NORMAL_PAYMENT,NONE,115.12,wallet,NORMAL,False,Synthetic monitoring time; not live merchant or payment-provider traffic.
mon_evt_0000065,2026-08-27T10:12:00,10000065,pay_mon_0000065,merchant_014,0.10324,ALLOW,False,NORMAL_PAYMENT,NONE,269.61,upi,NORMAL,False,Synthetic monitoring time; not live merchant or payment-provider traffic.
mon_evt_0000066,2026-08-27T10:12:11,10000066,pay_mon_0000066,merchant_103,0.054581,ALLOW,False,NORMAL_PAYMENT,NONE,37.42,card,NORMAL,False,Synthetic monitoring time; not live merchant or payment-provider traffic.
mon_evt_0000067,2026-08-27T10:12:22,10000067,pay_mon_0000067,merchant_075,0.062037,ALLOW,False,NORMAL_PAYMENT,NONE,156.47,upi,NORMAL,False,Synthetic monitoring time; not live merchant or payment-provider traffic.
mon_evt_0000068,2026-08-27T10:12:33,10000068,pay_mon_0000068,merchant_042,0.143042,ALLOW,False,NORMAL_PAYMENT,NONE,104.04,wallet,NORMAL,False,Synthetic monitoring time; not live merchant or payment-provider traffic.
mon_evt_0000069,2026-08-27T10:12:45,10000069,pay_mon_0000069,merchant_015,0.076391,ALLOW,False,NORMAL_PAYMENT,NONE,32.55,netbanking,NORMAL,False,Synthetic monitoring time; not live merchant or payment-provider traffic.
mon_evt_0000070,2026-08-27T10:12:56,10000070,pay_mon_0000070,merchant_101,0.051306,ALLOW,False,NORMAL_PAYMENT,NONE,36.98,card,NORMAL,False,Synthetic monitoring time; not live merchant or payment-provider traffic.
mon_evt_0000071,2026-08-27T10:13:07,10000071,pay_mon_0000071,merchant_097,0.042475,ALLOW,False,NORMAL_PAYMENT,NONE,52.53,card,NORMAL,False,Synthetic monitoring time; not live merchant or payment-provider traffic.
mon_evt_0000072,2026-08-27T10:13:18,10000072,pay_mon_0000072,merchant_061,0.033593,ALLOW,False,NORMAL_PAYMENT,NONE,111.03,netbanking,NORMAL,False,Synthetic monitoring time; not live merchant or payment-provider traffic.
mon_evt_0000073,2026-08-27T10:13:30,10000073,pay_mon_0000073,merchant_021,0.860564,REVIEW,True,DEBIT_SERVICE_MISMATCH,HIGH,21.82,card,NORMAL,False,Synthetic monitoring time; not live merchant or payment-provider traffic.
mon_evt_0000074,2026-08-27T10:13:41,10000074,pay_mon_0000074,merchant_092,0.056393,ALLOW,False,NORMAL_PAYMENT,NONE,48.37,card,NORMAL,False,Synthetic monitoring time; not live merchant or payment-provider traffic.
mon_evt_0000075,2026-08-27T10:13:52,10000075,pay_mon_0000075,merchant_043,0.082621,ALLOW,False,NORMAL_PAYMENT,NONE,114.63,wallet,NORMAL,False,Synthetic monitoring time; not live merchant or payment-provider traffic.
mon_evt_0000076,2026-08-27T10:14:03,10000076,pay_mon_0000076,merchant_117,0.088239,ALLOW,False,NORMAL_PAYMENT,NONE,19.28,card,NORMAL,False,Synthetic monitoring time; not live merchant or payment-provider traffic.
mon_evt_0000077,2026-08-27T10:14:15,10000077,pay_mon_0000077,merchant_049,0.027577,ALLOW,False,NORMAL_PAYMENT,NONE,161.2,wallet,NORMAL,False,Synthetic monitoring time; not live merchant or payment-provider traffic.
mon_evt_0000078,2026-08-27T10:14:26,10000078,pay_mon_0000078,merchant_012,0.07608,ALLOW,False,NORMAL_PAYMENT,NONE,46.09,card,NORMAL,False,Synthetic monitoring time; not live merchant or payment-provider traffic.
mon_evt_0000079,2026-08-27T10:14:37,10000079,pay_mon_0000079,merchant_006,0.034799,ALLOW,False,NORMAL_PAYMENT,NONE,65.02,card,NORMAL,False,Synthetic monitoring time; not live merchant or payment-provider traffic.
mon_evt_0000080,2026-08-27T10:14:48,10000080,pay_mon_0000080,merchant_035,0.182787,ALLOW,False,NORMAL_PAYMENT,NONE,43.14,card,NORMAL,False,Synthetic monitoring time; not live merchant or payment-provider traffic.
mon_evt_0000081,2026-08-27T10:15:00,10000081,pay_mon_0000081,merchant_056,0.226003,ALLOW,False,NORMAL_PAYMENT,NONE,128.79,card,NORMAL,False,Synthetic monitoring time; not live merchant or payment-provider traffic.
mon_evt_0000082,2026-08-27T10:15:11,10000082,pay_mon_0000082,merchant_046,0.051543,ALLOW,False,NORMAL_PAYMENT,NONE,135.91,wallet,NORMAL,False,Synthetic monitoring time; not live merchant or payment-provider traffic.
mon_evt_0000083,2026-08-27T10:15:22,10000083,pay_mon_0000083,merchant_045,0.153598,ALLOW,False,NORMAL_PAYMENT,NONE,36.89,card,NORMAL,False,Synthetic monitoring time; not live merchant or payment-provider traffic.
mon_evt_0000084,2026-08-27T10:15:33,10000084,pay_mon_0000084,merchant_055,0.215439,ALLOW,False,NORMAL_PAYMENT,NONE,52.76,card,NORMAL,False,Synthetic monitoring time; not live merchant or payment-provider traffic.
mon_evt_0000085,2026-08-27T10:15:45,10000085,pay_mon_0000085,merchant_079,0.900121,REVIEW,True,DEBIT_SERVICE_MISMATCH,HIGH,216.42,upi,NORMAL,False,Synthetic monitoring time; not live merchant or payment-provider traffic.
mon_evt_0000086,2026-08-27T10:15:56,10000086,pay_mon_0000086,merchant_014,0.112503,ALLOW,False,NORMAL_PAYMENT,NONE,137.33,netbanking,NORMAL,False,Synthetic monitoring time; not live merchant or payment-provider traffic.
mon_evt_0000087,2026-08-27T10:16:07,10000087,pay_mon_0000087,merchant_082,0.026011,ALLOW,False,NORMAL_PAYMENT,NONE,44.9,upi,NORMAL,False,Synthetic monitoring time; not live merchant or payment-provider traffic.
mon_evt_0000088,2026-08-27T10:16:18,10000088,pay_mon_0000088,merchant_117,0.846369,REVIEW,False,NORMAL_PAYMENT,NONE,67.78,upi,NORMAL,False,Synthetic monitoring time; not live merchant or payment-provider traffic.
mon_evt_0000089,2026-08-27T10:16:30,10000089,pay_mon_0000089,merchant_077,0.060507,ALLOW,False,NORMAL_PAYMENT,NONE,361.36,card,NORMAL,False,Synthetic monitoring time; not live merchant or payment-provider traffic.
mon_evt_0000090,2026-08-27T10:16:41,10000090,pay_mon_0000090,merchant_028,0.169724,ALLOW,False,NORMAL_PAYMENT,NONE,56.87,wallet,NORMAL,False,Synthetic monitoring time; not live merchant or payment-provider traffic.
mon_evt_0000091,2026-08-27T10:16:52,10000091,pay_mon_0000091,merchant_045,0.747971,REVIEW,False,NORMAL_PAYMENT,NONE,190.1,upi,NORMAL,False,Synthetic monitoring time; not live merchant or payment-provider traffic.
mon_evt_0000092,2026-08-27T10:17:03,10000092,pay_mon_0000092,merchant_002,0.368513,ALLOW,False,NORMAL_PAYMENT,NONE,32.54,netbanking,NORMAL,False,Synthetic monitoring time; not live merchant or payment-provider traffic.
mon_evt_0000093,2026-08-27T10:17:15,10000093,pay_mon_0000093,merchant_046,0.058813,ALLOW,False,NORMAL_PAYMENT,NONE,71.95,upi,NORMAL,False,Synthetic monitoring time; not live merchant or payment-provider traffic.
mon_evt_0000094,2026-08-27T10:17:26,10000094,pay_mon_0000094,merchant_012,0.950503,REVIEW,False,NORMAL_PAYMENT,NONE,127.18,netbanking,NORMAL,False,Synthetic monitoring time; not live merchant or payment-provider traffic.
mon_evt_0000095,2026-08-27T10:17:37,10000095,pay_mon_0000095,merchant_043,0.011476,ALLOW,False,NORMAL_PAYMENT,NONE,29.31,upi,NORMAL,False,Synthetic monitoring time; not live merchant or payment-provider traffic.
mon_evt_0000096,2026-08-27T10:17:48,10000096,pay_mon_0000096,merchant_109,0.910658,REVIEW,False,NORMAL_PAYMENT,NONE,109.38,card,NORMAL,False,Synthetic monitoring time; not live merchant or payment-provider traffic.
mon_evt_0000097,2026-08-27T10:18:00,10000097,pay_mon_0000097,merchant_096,0.248143,ALLOW,False,NORMAL_PAYMENT,NONE,87.94,upi,NORMAL,False,Synthetic monitoring time; not live merchant or payment-provider traffic.
mon_evt_0000098,2026-08-27T10:18:11,10000098,pay_mon_0000098,merchant_116,0.031981,ALLOW,False,NORMAL_PAYMENT,NONE,87.32,card,NORMAL,False,Synthetic monitoring time; not live merchant or payment-provider traffic.
mon_evt_0000099,2026-08-27T10:18:22,10000099,pay_mon_0000099,merchant_038,0.045149,ALLOW,False,NORMAL_PAYMENT,NONE,165.13,card,NORMAL,False,Synthetic monitoring time; not live merchant or payment-provider traffic.
mon_evt_0000100,2026-08-27T10:18:33,10000100,pay_mon_0000100,merchant_086,0.029354,ALLOW,False,NORMAL_PAYMENT,NONE,47.28,card,NORMAL,False,Synthetic monitoring time; not live merchant or payment-provider traffic.
mon_evt_0000101,2026-08-27T10:18:45,10000101,pay_mon_0000101,merchant_045,0.036097,ALLOW,False,NORMAL_PAYMENT,NONE,90.88,upi,NORMAL,False,Synthetic monitoring time; not live merchant or payment-provider traffic.
mon_evt_0000102,2026-08-27T10:18:56,10000102,pay_mon_0000102,merchant_058,0.036312,ALLOW,False,NORMAL_PAYMENT,NONE,38.98,upi,NORMAL,False,Synthetic monitoring time; not live merchant or payment-provider traffic.
mon_evt_0000103,2026-08-27T10:19:07,10000103,pay_mon_0000103,merchant_045,0.021746,ALLOW,False,NORMAL_PAYMENT,NONE,50.49,upi,NORMAL,False,Synthetic monitoring time; not live merchant or payment-provider traffic.
mon_evt_0000104,2026-08-27T10:19:18,10000104,pay_mon_0000104,merchant_029,0.024808,ALLOW,False,NORMAL_PAYMENT,NONE,58.71,netbanking,NORMAL,False,Synthetic monitoring time; not live merchant or payment-provider traffic.
mon_evt_0000105,2026-08-27T10:19:30,10000105,pay_mon_0000105,merchant_042,0.267301,ALLOW,False,NORMAL_PAYMENT,NONE,32.95,upi,NORMAL,False,Synthetic monitoring time; not live merchant or payment-provider traffic.
mon_evt_0000106,2026-08-27T10:19:41,10000106,pay_mon_0000106,merchant_109,0.371467,ALLOW,False,NORMAL_PAYMENT,NONE,5.69,card,NORMAL,False,Synthetic monitoring time; not live merchant or payment-provider traffic.
mon_evt_0000107,2026-08-27T10:19:52,10000107,pay_mon_0000107,merchant_033,0.057691,ALLOW,False,NORMAL_PAYMENT,NONE,268.72,upi,NORMAL,False,Synthetic monitoring time; not live merchant or payment-provider traffic.
mon_evt_0000108,2026-08-27T10:20:03,10000108,pay_mon_0000108,merchant_023,0.028709,ALLOW,False,NORMAL_PAYMENT,NONE,323.54,upi,NORMAL,False,Synthetic monitoring time; not live merchant or payment-provider traffic.
mon_evt_0000109,2026-08-27T10:20:15,10000109,pay_mon_0000109,merchant_006,0.003537,ALLOW,False,NORMAL_PAYMENT,NONE,67.48,netbanking,NORMAL,False,Synthetic monitoring time; not live merchant or payment-provider traffic.
mon_evt_0000110,2026-08-27T10:20:26,10000110,pay_mon_0000110,merchant_097,0.006383,ALLOW,False,NORMAL_PAYMENT,NONE,11.99,netbanking,NORMAL,False,Synthetic monitoring time; not live merchant or payment-provider traffic.
mon_evt_0000111,2026-08-27T10:20:37,10000111,pay_mon_0000111,merchant_091,0.047196,ALLOW,False,NORMAL_PAYMENT,NONE,232.3,card,NORMAL,False,Synthetic monitoring time; not live merchant or payment-provider traffic.
mon_evt_0000112,2026-08-27T10:20:48,10000112,pay_mon_0000112,merchant_119,0.197724,ALLOW,False,NORMAL_PAYMENT,NONE,117.34,netbanking,NORMAL,False,Synthetic monitoring time; not live merchant or payment-provider traffic.
mon_evt_0000113,2026-08-27T10:21:00,10000113,pay_mon_0000113,merchant_026,0.019049,ALLOW,False,NORMAL_PAYMENT,NONE,42.08,netbanking,NORMAL,False,Synthetic monitoring time; not live merchant or payment-provider traffic.
mon_evt_0000114,2026-08-27T10:21:11,10000114,pay_mon_0000114,merchant_020,0.064575,ALLOW,False,NORMAL_PAYMENT,NONE,289.6,netbanking,NORMAL,False,Synthetic monitoring time; not live merchant or payment-provider traffic.
mon_evt_0000115,2026-08-27T10:21:22,10000115,pay_mon_0000115,merchant_059,0.082904,ALLOW,False,NORMAL_PAYMENT,NONE,110.47,upi,NORMAL,False,Synthetic monitoring time; not live merchant or payment-provider traffic.
mon_evt_0000116,2026-08-27T10:21:33,10000116,pay_mon_0000116,merchant_054,0.168747,ALLOW,False,NORMAL_PAYMENT,NONE,30.05,upi,NORMAL,False,Synthetic monitoring time; not live merchant or payment-provider traffic.
mon_evt_0000117,2026-08-27T10:21:45,10000117,pay_mon_0000117,merchant_085,0.162376,ALLOW,False,NORMAL_PAYMENT,NONE,39.21,card,NORMAL,False,Synthetic monitoring time; not live merchant or payment-provider traffic.
mon_evt_0000118,2026-08-27T10:21:56,10000118,pay_mon_0000118,merchant_038,0.807629,REVIEW,True,DEBIT_SERVICE_MISMATCH,HIGH,223.01,upi,NORMAL,False,Synthetic monitoring time; not live merchant or payment-provider traffic.
mon_evt_0000119,2026-08-27T10:22:07,10000119,pay_mon_0000119,merchant_034,0.166267,ALLOW,False,NORMAL_PAYMENT,NONE,16.39,card,NORMAL,False,Synthetic monitoring time; not live merchant or payment-provider traffic.
