threshold,precision,recall,f1,true_positive,false_positive,true_negative,false_negative,review_rate
0.36,0.22472018525665766,0.7656147271531887,0.3474563628226167,2329,8035,77504,713,0.11700025964936048
0.37,0.2316633266533066,0.760026298487837,0.35509138381201044,2312,7668,77871,730,0.11266524423973538
0.38,0.23931623931623933,0.7547666009204471,0.36340614118391895,2296,7298,78241,746,0.10830765062485183
0.39,0.2461738847281016,0.7455621301775148,0.3701346389228886,2268,6945,78594,774,0.10400650252311444
0.4,0.2521915037086986,0.73767258382643,0.3758793969849246,2244,6654,78885,798,0.10045043519490636
0.41,0.25941471376938324,0.7314266929651545,0.38299337292365954,2225,6352,79187,817,0.09682663325092289
0.42,0.2677641931969495,0.7271531886916502,0.3914005131381049,2212,6049,79490,830,0.09325927682008557
0.43,0.2755806654111739,0.7215647600262984,0.3988371036613064,2195,5770,79769,847,0.08991770244183289
0.44,0.2832008340935749,0.7143326758711374,0.4055996266915539,2173,5500,80039,869,0.08662128447409716
0.45,0.2911186440677966,0.7057856673241288,0.41221080925410386,2147,5228,80311,895,0.08325713189058602
0.46,0.30045095828635854,0.7008547008547008,0.4205957782600118,2132,4964,80575,910,0.08010747225703028
0.47,0.30871405634213983,0.6952662721893491,0.4275750530678257,2115,4736,80803,927,0.07734164211286845
0.48,0.3177966101694915,0.6903353057199211,0.43523316062176165,2100,4508,81031,942,0.07459839017396507
0.49,0.32615191067777954,0.6817882971729126,0.4412296564195298,2074,4285,81254,968,0.0717874036192863
0.5,0.3350666233344166,0.6778435239973701,0.44845585036972596,2062,4092,81447,980,0.06947313758029375
0.51,0.34202118715318647,0.6686390532544378,0.4525531204805874,2034,3913,81626,1008,0.06713629333604272
0.52,0.35223517133414506,0.665680473372781,0.46069844158798773,2025,3724,81815,1017,0.06490105101545478
0.53,0.36320925189736175,0.6607495069033531,0.46875,2010,3524,82015,1032,0.062473893950169904
0.54,0.3713805342798431,0.653517422748192,0.47361524717093506,1988,3365,82174,1054,0.06043056637427891
0.55,0.38018922571925085,0.6472715318869166,0.4790171511981511,1969,3210,82329,1073,0.05846626251679254
0.56,0.3897014626327389,0.6393819855358317,0.484252458608241,1945,3046,82493,1097,0.05634391122249693
0.57,0.39962593516209477,0.6321499013806706,0.48968678380443087,1923,2889,82650,1119,0.05432316185186439
0.58,0.40963855421686746,0.6259040105193951,0.4951885565669701,1904,2744,82795,1138,0.052471749020670345
0.59,0.42087617344658024,0.6190006574621959,0.5010643959552954,1883,2591,82948,1159,0.05050744516318398
0.6,0.43078345273861796,0.6127547666009204,0.5059031076129733,1864,2463,83076,1178,0.048847947076686875
0.61,0.4410782442748092,0.6078238001314924,0.5111971246889687,1849,2343,83196,1193,0.047323918221740556
0.62,0.45003700962250187,0.5996055226824457,0.5141649048625793,1824,2229,83310,1218,0.04575473295627731
0.63,0.45790816326530615,0.5900723208415516,0.5156564205688021,1795,2125,83414,1247,0.044253282306589446
0.64,0.4695606140815246,0.5831689677843525,0.5202346041055719,1774,2004,83535,1268,0.0426502297332385
0.65,0.4813698630136986,0.5775805391190006,0.5251046025104602,1757,1893,83646,1285,0.04120522459669681
0.66,0.4923425978445831,0.5706771860618014,0.5286236297198539,1736,1790,83749,1306,0.03980537587067204
0.67,0.5038235294117647,0.5631163708086785,0.5318224153989445,1713,1687,83852,1329,0.03838294893938881
0.68,0.5146699266503667,0.5535831689677844,0.5334178017104846,1684,1588,83951,1358,0.03693794380284711
0.69,0.5268851415844734,0.5443786982248521,0.5354890864995958,1656,1487,84052,1386,0.035481649563676186
0.7,0.535761154855643,0.5368178829717292,0.5362889983579638,1633,1415,84124,1409,0.034409184813899145
0.71,0.5493150684931507,0.5272846811308349,0.5380744716538074,1604,1316,84223,1438,0.032964179677357444
0.72,0.5645334286735788,0.5190664036817882,0.5408460352800137,1579,1218,84321,1463,0.03157562005396191
0.73,0.5755448836350203,0.5121630506245891,0.5420073056183684,1558,1149,84390,1484,0.030559600817331032
0.74,0.5869731800766284,0.5036160420775806,0.5421089879688605,1532,1078,84461,1510,0.029464557862295526
0.75,0.5993640699523053,0.49572649572649574,0.5426412378553437,1508,1008,84531,1534,0.028403382215147717
0.76,0.6108821104699094,0.48717948717948717,0.5420629114850036,1482,944,84595,1560,0.02738736297851684
0.77,0.6253229974160207,0.47731755424063116,0.5413870246085011,1452,870,84669,1590,0.02621329630507671
0.78,0.6426966292134831,0.4700854700854701,0.5430036073666223,1430,795,84744,1612,0.025118253350041204
0.79,0.6559888579387186,0.46449704142011833,0.5438799076212472,1413,741,84798,1629,0.024316727063365733
0.8,0.6702179176755448,0.4549638395792242,0.542001174858038,1384,681,84858,1658,0.023311996929364084
0.81,0.686838124054463,0.4477317554240631,0.542089552238806,1362,621,84918,1680,0.02238629051376706
0.82,0.7003686150605581,0.43721236028928334,0.5383525602104837,1330,569,84970,1712,0.021438005892911574
0.83,0.7149146945514584,0.4270216962524655,0.5346779172669274,1299,518,85021,1743,0.020512299477314547
0.84,0.7291428571428571,0.41946088099934253,0.5325542570951586,1276,474,85065,1766,0.019755929601156005
0.85,0.744311377245509,0.4086127547666009,0.5275891341256367,1243,427,85112,1799,0.018852801390817443
0.86,0.7578222778473092,0.3980933596318212,0.5219827586206897,1211,387,85152,1831,0.01803998600151274
0.87,0.7731147540983606,0.3875739644970414,0.5163126779067221,1179,346,85193,1863,0.017215881509578805
0.88,0.7854223433242506,0.3790269559500329,0.5113082039911309,1153,315,85224,1889,0.01657240265971258
0.89,0.8021201413427562,0.37310979618671924,0.5093111958716625,1135,280,85259,1907,0.015974080220363285
0.9,0.8123167155425219,0.36423405654174884,0.5029505220154336,1108,256,85283,1934,0.015398335986272452
0.91,0.8303501945525292,0.3507560815253123,0.4931823434250058,1067,218,85321,1975,0.014506496878563122
0.92,0.8473029045643153,0.3356344510190664,0.48080998351777726,1021,184,85355,2021,0.013603368668224564
0.93,0.8630377524143986,0.3231426692965155,0.4702224348242047,983,156,85383,2059,0.012858287894695251
0.94,0.8842504743833017,0.3063773833004602,0.455078125,932,122,85417,2110,0.011898714171210531
0.95,0.8947895791583166,0.2935568704799474,0.4420792079207921,893,105,85434,2149,0.011266524423973539
0.96,0.9069264069264069,0.2754766600920447,0.42259203227433184,838,86,85453,2204,0.01043113082941037
0.97,0.9150943396226415,0.25509533201840895,0.3989717223650386,776,72,85467,2266,0.009573159029588737
0.98,0.9250334672021419,0.22715318869165024,0.3647400369490631,691,56,85483,2351,0.008432959664036305
0.99,0.9306759098786829,0.1765285996055227,0.29676706272450953,537,40,85499,2505,0.006513812217066865
